"","SeqName","Project","SampleType","Mouse","Day","Community","MouseType","Diet","Well","pH","Location","finalDaySamples","Buffer","Replicate","Inoculum","names","Condition","mouse_location","mouse_sampleType"
"c2m7_S224","c2m7_S224","c2m7","DAY0_1",NA,"0",NA,NA,NA,"C8","7.5",NA,0,50,NA,2522,NA,"7.5_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S225","c2m7_S225","c2m7","DAY0_1",NA,"0",NA,NA,NA,"C9","8",NA,0,50,NA,2522,NA,"8_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S226","c2m7_S226","c2m7","DAY0_1",NA,"0",NA,NA,NA,"C10","8.5",NA,0,50,NA,2522,NA,"8.5_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S227","c2m7_S227","c2m7","DAY0_1",NA,"0",NA,NA,NA,"C11","9",NA,0,50,NA,2522,NA,"9_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S23","c2m7_S23","c2m7","p4mp1_d14",NA,NA,NA,NA,NA,"B2","7",NA,0,NA,NA,NA,NA,"7_NA","NA_NA_NA_NA_NA","NA_p4mp1_d14_NA_NA_NA"
"c2m7_S233","c2m7_S233","c2m7","DAY0_1",NA,"0",NA,NA,NA,"E5","6",NA,0,100,NA,2522,NA,"6_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S234","c2m7_S234","c2m7","DAY0_1",NA,"0",NA,NA,NA,"E6","6.5",NA,0,100,NA,2522,NA,"6.5_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S235","c2m7_S235","c2m7","DAY0_1",NA,"0",NA,NA,NA,"E7","7",NA,0,100,NA,2522,NA,"7_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S236","c2m7_S236","c2m7","DAY0_1",NA,"0",NA,NA,NA,"E8","7.5",NA,0,100,NA,2522,NA,"7.5_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S237","c2m7_S237","c2m7","DAY0_1",NA,"0",NA,NA,NA,"E9","8",NA,0,100,NA,2522,NA,"8_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
