"","BioHub_Name","Plate","Well","Column","Project","SampleType","Mouse","Date","Day","Isolator","Isolator_2","Community","MouseType","Isolate","Isolate_Source","Diet","DNA.Extracted","S_Number","dedup","hostRemoved","raw"
"13","mousexp3_gavage1_B10",NA,"B",10,"MouseExp3","Proximal","m8","3.22.22",30,118,NA,"syn_Stool","SW","","","Normal","","S22",11396937,3349197,36859695
"14","mousexp3_gavage1_B11",NA,"B",11,"MouseExp3","Mid","m8","3.22.22",30,118,NA,"syn_Stool","SW","","","Normal","","S23",1558198,877373,4485178
"15","mousexp3_gavage1_B12",NA,"B",12,"MouseExp3","Distal","m8","3.22.22",30,118,NA,"syn_Stool","SW","","","Normal","","S24",5427104,1060787,21265295
"16","mousexp3_gavage1_B1",NA,"B",1,"MouseExp3","Proximal","m5","3.22.22",30,119,NA,"syn_SI","SW","","","Normal","","S13",15635880,5443142,56928745
"17","mousexp3_gavage1_B2",NA,"B",2,"MouseExp3","Mid","m5","3.22.22",30,119,NA,"syn_SI","SW","","","Normal","","S14",3479834,871718,8742239
"18","mousexp3_gavage1_B3",NA,"B",3,"MouseExp3","Distal","m5","3.22.22",30,119,NA,"syn_SI","SW","","","Normal","","S15",8888275,6215140,26453598
"19","mousexp3_gavage1_B4",NA,"B",4,"MouseExp3","Proximal","m6","3.22.22",30,118,NA,"syn_Stool","SW","","","Normal","","S16",4819022,4135269,12772919
"20","mousexp3_gavage1_B5",NA,"B",5,"MouseExp3","Mid","m6","3.22.22",30,118,NA,"syn_Stool","SW","","","Normal","","S17",1170049,502586,1815250
"21","mousexp3_gavage1_B6",NA,"B",6,"MouseExp3","Distal","m6","3.22.22",30,118,NA,"syn_Stool","SW","","","Normal","","S18",8471387,7976973,25846014
"22","mousexp3_gavage1_B7",NA,"B",7,"MouseExp3","Proximal","m7","3.22.22",30,118,NA,"syn_Stool","SW","","","Normal","","S19",9403183,8940605,27169495
"23","mousexp3_gavage1_B8",NA,"B",8,"MouseExp3","Mid","m7","3.22.22",30,118,NA,"syn_Stool","SW","","","Normal","","S20",4537107,4048893,11735231
"24","mousexp3_gavage1_B9",NA,"B",9,"MouseExp3","Distal","m7","3.22.22",30,118,NA,"syn_Stool","SW","","","Normal","","S21",3404694,1858953,8568151
"25","mousexp3_gavage1_C10",NA,"C",10,"MouseExp3","Cecum","m6","3.22.22",30,118,NA,"syn_Stool","SW","","","Normal","","S34",20547339,19163630,52749178
"26","mousexp3_gavage1_C11",NA,"C",11,"MouseExp3","Cecum","m7","3.22.22",30,118,NA,"syn_Stool","SW","","","Normal","","S35",27889961,25433075,96953020
"27","mousexp3_gavage1_C12",NA,"C",12,"MouseExp3","Cecum","m8","3.22.22",30,118,NA,"syn_Stool","SW","","","Normal","","S36",21619082,17990280,61546821
"28","mousexp3_gavage1_C1",NA,"C",1,"MouseExp3","Proximal","m9","3.22.22",30,118,NA,"syn_Stool","SW","","","Normal","","S25",12517486,12104927,40553779
"29","mousexp3_gavage1_C2",NA,"C",2,"MouseExp3","Mid","m9","3.22.22",30,118,NA,"syn_Stool","SW","","","Normal","","S26",5249060,4391685,14488973
"30","mousexp3_gavage1_C3",NA,"C",3,"MouseExp3","Distal","m9","3.22.22",30,118,NA,"syn_Stool","SW","","","Normal","","S27",3584678,1603103,9153264
"31","mousexp3_gavage1_C5",NA,"C",5,"MouseExp3","Cecum","m1","3.22.22",30,119,NA,"syn_SI","SW","","","Normal","","S29",21842437,15080284,78827945
"32","mousexp3_gavage1_C6",NA,"C",6,"MouseExp3","Cecum","m2","3.22.22",30,119,NA,"syn_SI","SW","","","Normal","","S30",20721564,13682134,51829621
